code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2021-03-11 00:00:00,604.043615,624.324315,627.089865,603.121765,63.384,0.00219,22750599,14151202733.0,3.3574893428846044,604.043615
HK.00700,2021-03-12 00:00:00,636.76929,596.668815,637.230215,593.903265,60.59,0.00271,28188755,17407186915.0,-4.429668897326218,624.324315
HK.00700,2021-03-15 00:00:00,596.20789,575.92719,598.97344,569.47424,58.494,0.00365,37980893,22199001826.0,-3.4762374836030263,596.668815
HK.00700,2021-03-16 00:00:00,586.06754,578.231815,590.215865,573.16164,58.727,0.00204,21200172,12361190916.0,0.4001590895543562,575.92719
HK.00700,2021-03-17 00:00:00,572.700715,572.700715,586.06754,570.39609,58.168,0.00199,20718077,11972069608.0,-0.9565540768454669,578.231815
HK.00700,2021-03-18 00:00:00,582.38014,587.450315,597.590665,579.61459,59.659,0.00233,24258390,14361460666.0,2.5754464092122014,572.700715
HK.00700,2021-03-19 00:00:00,575.92719,575.92719,585.606615,572.23979,58.494,0.00235,24451018,14178638360.0,-1.9615488673284733,587.450315
HK.00700,2021-03-22 00:00:00,578.231815,580.997365,590.215865,577.309965,59.007,0.00146,15200377,8876749536.0,0.8803499970195798,575.92719
HK.00700,2021-03-23 00:00:00,591.137715,576.388115,591.137715,574.544415,58.541,0.00152,15845949,9245367760.0,-0.7933340627112784,580.997365
HK.00700,2021-03-24 00:00:00,578.69274,571.778865,584.684765,564.86499,58.075,0.00188,19578976,11250251821.0,-0.7996781821221235,576.388115
HK.00700,2021-03-25 00:00:00,550.11539,555.64649,570.39609,539.514115,30.539,0.00462,48044145,26816372078.0,-2.8214360459091163,571.778865
HK.00700,2021-03-26 00:00:00,555.64649,568.55239,579.61459,555.185565,31.245,0.00255,26565429,15191051275.0,2.3226818187945315,555.64649
HK.00700,2021-03-29 00:00:00,568.55239,561.17759,570.39609,550.576315,30.842,0.00302,31467386,17734706995.0,-1.2971188108100182,568.55239
HK.00700,2021-03-30 00:00:00,562.560365,558.872965,569.47424,556.107415,30.716,0.00214,22298973,12601669642.0,-0.41067659170067483,561.17759
HK.00700,2021-03-31 00:00:00,566.70869,559.33389,569.935165,558.41204,30.741,0.00166,17291241,9771061290.0,0.082474019833823,558.872965
